Steam ID;Name;Quantity;All Reviews;Recent Reviews;Genre
428550;Momodora: Reverie Under The Moonlight;3812;Very Positive;Very Positive;Metroidvania, Side Scroller, Exploration, Spectacle fighter, 2D Platformer
736260;Baba Is You;7645;Overwhelmingly Positive;Overwhelmingly Positive;Puzzle, Indie, Difficult, Singleplayer, Pixel Graphics
504230;Celeste;17396;Overwhelmingly Positive;Overwhelmingly Positive;Precision Platformer, Pixel Graphics, Difficult, Platformer, Great Soundtrack
287700;METAL GEAR SOLID V: THE PHANTOM PAIN;38293;Very Positive;Very Positive;Stealth, Open World, Action, Story Rich, Tactical
367520;Hollow Knight;62368;Overwhelmingly Positive;Overwhelmingly Positive;Metroidvania, Souls-like, Platformer, Great Soundtrack, Difficult
1145360;Hades;79534;Overwhelmingly Positive ;Overwhelmingly Positive;Action Roguelike, Indie, Action, Roguelite, RPG
275850;No Man's Sky;123345;Mixed;Very Positive;Open World, Open World Survival Craft, Space, Exploration, Sci-fi
292030;The Witcher® 3: Wild Hunt;161014;Overwhelmingly Positive;Overwhelmingly Positive;Open World, RPG, Story Rich, Atmospheric, Mature
1091500;Cyberpunk 2077;176952;Mostly Positive;Mixed;Cyberpunk, Open World, RPG, Sci-fi, Futuristic
403640;Dishonored 2;19033;Very Positive;Very Positive;Stealth, First-Person, Action, Assassin, Singleplayer
210970;The Witness;7121;Very Positive;Very Positive;Puzzle, Exploration, First-Person, Open World, Singleplayer
501300;What Remains of Edith Finch;8553;Overwhelmingly Positive;Overwhelmingly Positive;Story Rich, Atmospheric, Walking Simulator, First-Person, Exploration
812140;Assassin's Creed® Odyssey;34527;Very Positive;Very Positive;Open World, RPG, Assassin, Singleplayer, Action
601150;Devil May Cry 5;18108;Very Positive;Overwhelmingly Positive;Action, Hack and Slash, Great Soundtrack, Character Action Game, Demons
